ipr	description
IPR036371	Thiamin pyrophosphokinase, thiamin-binding domain superfamily
IPR007702	Janus
IPR038596	Janus superfamily
IPR002059	Cold-shock protein, DNA-binding
IPR000793	ATP synthase, alpha subunit, C-terminal
IPR005294	ATP synthase, F1 complex, alpha subunit
IPR038376	ATP synthase, alpha subunit, C-terminal domain superfamily
IPR000892	Ribosomal protein S26e
IPR038887	Dehydrodolichyl diphosphate synthase complex subunit Nus1
IPR017248	HS1-associating protein X-1
IPR022100	Minichromosome loss protein Mcl1, middle region
IPR017892	Protein kinase, C-terminal
IPR009254	Laminin alpha, domain I
IPR004083	Regulatory associated protein of TOR
IPR012133	Alpha-hydroxy acid dehydrogenase, FMN-dependent
IPR042620	Putative methyltransferase NSUN7
IPR014026	UDP-glucose/GDP-mannose dehydrogenase, dimerisation
IPR000742	EGF-like domain
IPR001888	Transposase, type 1
IPR017245	BLOC-1 complex, subunit 3
IPR020164	Cytochrome c oxidase assembly protein COX16
IPR011659	WD40-like beta propeller
IPR037722	Ferlin, third C2 domain
IPR041882	Ankyrin repeat and SAM domain-containing protein 1, SAM repeat 2
IPR039915	TACC family
IPR029008	ER membrane protein complex subunit 6-like
IPR006172	DNA-directed DNA polymerase, family B
IPR031692	EH domain-containing protein, N-terminal
IPR006577	UAS
IPR031333	Daxx, N-terminal Rassf1C-interacting domain
IPR025721	Exosome complex component, N-terminal domain
IPR001991	Sodium:dicarboxylate symporter
IPR036458	Sodium:dicarboxylate symporter superfamily
IPR021843	Proteasome activator complex subunit 4 C-terminal domain
IPR032430	Proteasome activator Blm10, mid region
IPR035309	Proteasome activator complex subunit 4
IPR005633	Ribosomal protein L23/L25, N-terminal
IPR014789	Poly(A)-specific ribonuclease, RNA-binding
IPR002051	Haem oxygenase
IPR016053	Haem oxygenase-like
IPR016084	Haem oxygenase-like, multi-helical
IPR013638	Fork-head N-terminal
IPR047388	Protein fork head-like, forkhead domain
IPR008805	RIB43A
IPR006656	Molybdopterin oxidoreductase
IPR021893	Protein of unknown function DUF3504
IPR031424	Protein quiver
IPR027065	Lon protease
IPR007148	Small-subunit processome, Utp12
IPR000146	Fructose-1,6-bisphosphatase class 1
IPR028343	Fructose-1,6-bisphosphatase
IPR044015	Fructose-1-6-bisphosphatase class 1, C-terminal
IPR015679	Phospholipase D family
IPR000314	Gastrin receptor
IPR019007	WW domain binding protein 11
IPR006616	DM9 repeat
IPR027027	GOSR2/Membrin/Bos1
IPR039732	Ubiquitin-like modifier Hub1/Ubl5
IPR009169	Calreticulin
IPR003102	Cyclic AMP-responsive element-binding protein 1-like, pKID
IPR007213	Methyltransferase Ppm1/Ppm2/Tcmp
IPR012220	Glutamate synthase, eukaryotic
IPR016651	Leucine carboxyl methyltransferase 1
IPR029209	DML1/Misato, tubulin domain
IPR041523	Roquin II
IPR047554	BICC1, second type I KH
IPR047022	Rabphilin/Doc2, first C2 domain
IPR038582	S27a-like superfamily
IPR019545	DM13 domain
IPR000990	Innexin
IPR040661	Leucine zipper with capping helix domain
IPR006630	La-type HTH domain
IPR024512	Small subunit of serine palmitoyltransferase-like
IPR025155	WxxW domain
IPR039880	CHD1 helical C-terminal domain containing protein 1-like
IPR044195	Pentapeptide repeat containing protein TL17-like
IPR045899	Putative RING-H2 finger protein ATL71-like
IPR007504	H/ACA ribonucleoprotein complex, subunit Gar1/Naf1
IPR002455	GPCR family 3, GABA-B receptor
IPR009050	Globin-like superfamily
IPR002394	Nicotinic acetylcholine receptor
IPR001734	Sodium/solute symporter
IPR005122	Uracil-DNA glycosylase-like
IPR042493	Bacterial type XPD DNA helicase, FeS cluster domain
IPR001506	Peptidase M12A
IPR010926	Class I myosin tail homology domain
IPR013243	SCA7 domain
IPR042447	Anosmin-1
IPR001015	Ferrochelatase
IPR033644	Ferrochelatase, C-terminal
IPR033659	Ferrochelatase, N-terminal
IPR041793	Myosin VII, FERM domain C-lobe, repeat 1
IPR001562	Zinc finger, Btk motif
IPR027443	Isopenicillin N synthase-like superfamily
IPR018737	Protein LIN52
IPR039465	Interleukin-17 receptor-like
IPR019358	NEMP family
IPR013150	Transcription factor TFIIB, cyclin-like domain
IPR040392	PKHA4-7, PH domain
IPR007199	Replication factor-A protein 1, N-terminal
IPR004519	DNA-directed RNA polymerase, subunit E/RPC8
IPR041752	Cytochrome c oxidase assembly factor 3, mitochondrial
IPR032067	FOXO protein, transactivation domain
IPR001260	Coproporphyrinogen III oxidase, aerobic
IPR002205	DNA topoisomerase, type IIA, domain A
IPR013757	DNA topoisomerase, type IIA, alpha-helical domain superfamily
IPR013758	DNA topoisomerase, type IIA, domain A, alpha-beta
IPR036406	Oxygen-dependent coproporphyrinogen III oxidase superfamily
IPR019534	Protein of unknown function DUF2452
IPR038726	PD-(D/E)XK endonuclease-like domain, AddAB-type
IPR047298	Survival motor neuron protein, tudor domain
IPR018783	Transcription factor, enhancer of yellow 2
IPR038212	Transcription factor EnY2 superfamily
IPR044917	DNA-directed primase/polymerase protein
IPR010606	Mib-herc2
IPR046447	DENR, C-terminal domain
IPR015919	Cadherin-like superfamily
IPR015576	Spermine synthase, animal
IPR010995	DNA repair Rad51/transcription factor NusA, alpha-helical
IPR032572	Nuclear migration protein nudC
IPR025066	Coiled-coil domain-containing protein 174-like
IPR008279	PEP-utilising enzyme, mobile domain
IPR036637	Phosphohistidine domain superfamily
IPR001347	SIS domain
IPR006800	Pellino family
IPR010228	NADH:ubiquinone oxidoreductase, subunit G
IPR019574	NADH:ubiquinone oxidoreductase, subunit G, iron-sulphur binding
IPR001433	Oxidoreductase FAD/NAD(P)-binding
IPR013870	Ribosomal protein L37, mitochondrial
IPR035514	SPIN90, SH3 domain
IPR007810	Pep3/Vps18/deep orange
IPR040793	CDH1/2, SANT-Helical linker 1
IPR000407	Nucleoside phosphatase GDA1/CD39
IPR008352	Mitogen-activated protein (MAP) kinase p38-like
IPR034042	PARN, R3H domain
IPR041418	SAM domain
IPR032049	E3 ubiquitin-protein ligase Msl2, CXC domain
IPR046466	Borealin, C-terminal
IPR003057	Invertebrate colouration protein
IPR028796	Tetratricopeptide repeat protein 8
IPR047118	F-box only protein 7
IPR000406	Rho protein GDP-dissociation inhibitor
IPR024792	Rho GDP-dissociation inhibitor domain superfamily
IPR007645	RNA polymerase Rpb2, domain 3
IPR036676	PurM-like, C-terminal domain superfamily
IPR024372	Proteasome component Ecm29
IPR044078	Mot1, ATP-binding domain
IPR003492	Batten's disease protein Cln3
IPR039192	Glycogen synthase kinase 3, catalytic domain
IPR044933	Diaphanous, GTPase-binding domain superfamily
IPR034218	SART3, RNA recognition motif 2
IPR013721	STAG
IPR039662	Cohesin subunit Scc3/SA
IPR043458	G-protein coupled receptor 158/179
IPR005024	Snf7 family
IPR004944	Cyclin-dependent kinase 5 activator
IPR003977	E3 ubiquitin-protein ligase parkin
IPR041170	RING/Ubox-like zinc-binding domain
IPR041565	Parkin, RING/Ubox like zinc-binding domain
IPR047534	E3 ubiquitin-protein ligase parkin, BRcat domain
IPR047535	E3 ubiquitin-protein ligase parkin, RING finger, HC subclass
IPR029485	Cationic amino acid transporter, C-terminal
IPR013137	Zinc finger, TFIIB-type
IPR010441	CH-like domain in sperm protein
IPR040192	CUE domain-containing protein 1
IPR010294	ADAMTS/ADAMTS-like, Spacer 1
IPR013005	50S ribosomal protein uL4
IPR006176	3-hydroxyacyl-CoA dehydrogenase, NAD binding
IPR006640	SprT-like
IPR016185	Pre-ATP-grasp domain superfamily
IPR029136	Nuclear protein MDM1
IPR015482	Syntrophin
IPR029038	Methionyl-tRNA synthetase, Zn-domain
IPR043535	Tubulin epsilon and delta complex protein 1
IPR026315	Out at first protein
IPR008379	Band 4.1, C-terminal
IPR007309	B-block binding subunit of TFIIIC
IPR044920	tRNA uridine 5-carboxymethylaminomethyl modification enzyme, C-terminal subdomain superfamily
IPR047001	tRNA uridine 5-carboxymethylaminomethyl modification enzyme, C-terminal subdomain
IPR017714	Methylthioribulose-1-phosphate dehydratase
IPR003812	Fido domain
IPR036597	Fido-like domain superfamily
IPR040198	Fido domain-containing protein
IPR044110	RNF146, RING finger, HC subclass
IPR036788	Translation initiation factor 3 (IF-3), C-terminal domain superfamily
IPR001904	Paxillin, Lim domain 4
IPR035983	HECT, E3 ligase catalytic domain
IPR036674	p53-like tetramerisation domain superfamily
IPR007741	Ribosomal protein/NADH dehydrogenase domain
IPR017243	Biogenesis of lysosome-related organelles complex 1 subunit 5
IPR039690	U11/U12 small nuclear ribonucleoprotein 25kDa protein
IPR040610	SNRNP25, ubiquitin-like domain
IPR016903	Nucleolar complex-associated protein 3
IPR005707	Ribosomal protein S2, eukaryotic/archaeal
IPR032281	40S ribosomal protein SA, C-terminal domain
IPR039154	Serine/Threonine kinase LKB1, catalytic domain
IPR027353	NET domain
IPR041833	Rab21
IPR044429	SETD4, SET domain
IPR009001	Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal
IPR037607	Diacylglycerol kinase
IPR000535	Major sperm protein (MSP) domain
IPR026053	BLOC-3 complex member HPS1
IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily
IPR022043	Chromatin assembly factor 1 subunit A
IPR033316	DNA endonuclease RBBP8-like
IPR002131	Glycoprotein hormone receptor family
IPR036415	Lamin tail domain superfamily
IPR002143	Ribosomal protein L1
IPR008964	Invasin/intimin cell-adhesion fragments
IPR045197	Nuclear pore membrane glycoprotein 210-like
IPR000953	Chromo/chromo shadow domain
IPR011991	ArsR-like helix-turn-helix domain
IPR039934	C2 domain-containing protein 2-like
IPR015353	Rubisco LSMT, substrate-binding domain
IPR036464	Rubisco LSMT, substrate-binding domain superfamily
IPR006571	TLDc domain
IPR034904	Fe-S cluster assembly domain superfamily
IPR011017	TRASH domain
IPR005112	dDENN domain
IPR037382	Remodelling complex subunit Rsc/polybromo
IPR019345	ARMET, C-terminal
IPR039085	DDB1- and CUL4-associated factor 10
IPR045332	ARMET, N-terminal
IPR045333	ARMET-like
IPR044075	PRKCBP1, PHD finger
IPR045817	Dynamin-like GTPase OPA1, C-terminal
IPR037432	Exonuclease Mut-7, DEDDy 3'-5' exonuclease domain
IPR043597	Trichohyalin-plectin-homology domain
IPR017580	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase, type 1
IPR010733	Domain of unknown function DUF1308
IPR039852	Cullin-associated NEDD8-dissociated protein 1/2
IPR040234	Glutaminyl-peptide cyclotransferase-like
IPR022786	Geminin/Multicilin
IPR002650	Sulphate adenylyltransferase
IPR000298	Cytochrome c oxidase subunit III-like
IPR016133	Insect cysteine-rich antifreeze protein
IPR035973	Cytochrome c oxidase subunit III-like superfamily
IPR016555	Phospholipase D, eukaryotic type
IPR007264	H/ACA ribonucleoprotein complex, subunit Nop10
IPR036756	H/ACA ribonucleoprotein complex, subunit Nop10 superfamily
IPR045109	Histone demethylase JHDM2-like
IPR008758	Peptidase S28
IPR001174	Galactokinase/homoserine kinase
IPR026951	Peptidyl-prolyl cis-trans isomerase like 2, U-box domain
IPR001766	Fork head domain
IPR039139	Coiled-coil domain-containing protein 170-like
IPR043550	Histone-lysine N-methyltransferase EHMT1/EHMT2
IPR014756	Immunoglobulin E-set
IPR045135	26S proteasome regulatory subunit Rpn7, N-terminal
IPR005998	Ribosomal protein L7, eukaryotic
IPR039799	Sulfhydryl oxidase ALR/ERV
IPR011042	Six-bladed beta-propeller, TolB-like
IPR035754	SPRY domain-containing SOCS box protein 3, SPRY domain
IPR037103	Tubulin/FtsZ-like, C-terminal domain
IPR009454	Lipid transport, open beta-sheet
IPR001796	Dihydrofolate reductase domain
IPR012259	Dihydrofolate reductase
IPR004342	EXS, C-terminal
IPR010044	Methylthioadenosine phosphorylase (MTAP)
IPR006910	Rad21/Rec8-like protein, N-terminal
IPR033575	DET1- and DDB1-associated protein 1
IPR024874	Transcription factor Maf family
IPR002469	Dipeptidylpeptidase IV, N-terminal domain
IPR034102	Small nuclear ribonucleoprotein D1
IPR027057	CAAX prenyl protease 1
IPR040159	Suppressor of hairless-like
IPR006683	Thioesterase domain
IPR039298	Acyl-coenzyme A thioesterase 13
IPR000212	DNA helicase, UvrD/REP type
IPR001348	ATP phosphoribosyltransferase HisG
IPR001482	Type II/IV secretion system domain
IPR001570	Peptidase M4, C-terminal
IPR001633	EAL domain
IPR002491	ABC transporter periplasmic binding domain
IPR002523	Mg2+ transporter protein, CorA-like/Zinc transport protein ZntB
IPR002649	tRNA (guanine-N1-)-methyltransferase TrmD
IPR002676	RimM, N-terminal
IPR002751	Metal transport protein CbiM/NikMN
IPR003141	Polymerase/histidinol phosphatase, N-terminal
IPR003700	Ketopantoate hydroxymethyltransferase
IPR003821	1-deoxy-D-xylulose 5-phosphate reductoisomerase
IPR003838	ABC3 transporter permease protein domain
IPR004513	Cell division protein FtsX
IPR004849	6-phosphogluconate dehydrogenase, YqeC-type
IPR005170	Transporter-associated domain
IPR005493	Ribonuclease E inhibitor RraA/RraA-like protein
IPR005545	YCII-related
IPR005561	ANTAR domain
IPR005580	DEAD box helicase DbpA/CsdA, RNA-binding domain
IPR005624	Corrinoid adenosyltransferase PduO/GlcC-like
IPR006015	Universal stress protein A family
IPR006016	UspA
IPR006160	Short chain fatty acid transporter AtoE
IPR007157	PspA/IM30
IPR007210	ABC-type glycine betaine transport system, substrate-binding domain
IPR010211	Redox-sensitive transcriptional activator SoxR
IPR011942	Poly(3-hydroxyalkanoate) depolymerase
IPR011961	16S rRNA processing protein RimM
IPR011994	Cytidylate kinase domain
IPR012263	Adenine modification methylase, M.EcoRV-type
IPR012327	D12 class N6 adenine-specific DNA methyltransferase
IPR013115	Histidine biosynthesis HisG, C-terminal
IPR013644	1-deoxy-D-xylulose 5-phosphate reductoisomerase, C-terminal
IPR013820	ATP phosphoribosyltransferase, catalytic domain
IPR013856	Peptidase M4 domain
IPR013986	DExx box DNA helicase domain superfamily
IPR014016	UvrD-like helicase, ATP-binding domain
IPR014017	UvrD-like DNA helicase, C-terminal
IPR014165	4-carboxy-4-hydroxy-2-oxoadipate aldolase/oxaloacetate decarboxylase
IPR014757	Transcription regulator IclR, C-terminal
IPR015199	DNA polymerase III, delta subunit, C-terminal
IPR015358	Transcription regulator MerR, DNA binding
IPR017515	Methylmalonyl-CoA epimerase
IPR017911	MacB, ATP-binding domain
IPR018024	Cobalamin (vitamin B12) transport protein CbiM
IPR020621	ATP phosphoribosyltransferase HisG, long form
IPR022380	Glutamyl-Q tRNA(Asp) synthetase
IPR022492	Phosphomutase MSMEG4193, putative
IPR022898	Ribonuclease HII
IPR022907	VapC family
IPR023095	Adenine-specific methyltransferase, domain 2
IPR023148	tRNA (guanine-N(1)-)-methyltransferase, C-terminal domain superfamily
IPR023612	Peptidase M4
IPR026877	DXP reductoisomerase C-terminal domain
IPR032465	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase
IPR033470	Fatty acid kinase subunit A-like, C-terminal
IPR034079	RNA-binding protein KhpB, R3H domain
IPR034128	K02A2.6-like peptidase catalytic domain
IPR035919	EAL domain superfamily
IPR036169	DXP reductoisomerase, C-terminal domain superfamily
IPR036704	Ribonuclease E inhibitor RraA/RraA-like superfamily
IPR036976	RimM, N-terminal domain superfamily
IPR038008	Jag, KH domain
IPR038084	Corrinoid adenosyltransferase PduO/GlcC-like superfamily
IPR039247	RNA-binding protein KhpB
IPR039375	Nodulation protein N-like
IPR040690	FtsX, extracellular domain
IPR042176	Pantoate-beta-alanine ligase, C-terminal domain
IPR045609	Domain of unknown function DUF6451
IPR045861	CorA, cytoplasmic domain
IPR045863	CorA, transmembrane region
IPR047057	MerR transcriptional regulator
IPR038980	Serine/threonine-protein kinase ATM, plant
IPR044107	ATM, catalytic domain
IPR005873	DENR family, eukaryotes
IPR013857	NADH:ubiquinone oxidoreductase intermediate-associated protein 30
IPR019594	Ionotropic glutamate receptor, L-glutamate and glycine-binding domain
IPR000367	G-protein alpha subunit, group S
IPR001024	PLAT/LH2 domain
IPR006560	AWS domain
IPR046995	Regulator of G-protein signaling 10/12/14-like
IPR031106	CCAAT/enhancer-binding protein C/EBP
IPR045266	Copper-dependent monooxygenases, DOMON domain
IPR015285	RIO2 kinase winged helix domain, N-terminal
IPR030484	Serine/threonine-protein kinase Rio2
IPR022309	Ribosomal protein S8e/ribosomal biogenesis NSA2
IPR029277	Single domain Von Willebrand factor type C domain
IPR003788	Protein arginine methyltransferase NDUFAF7
IPR038375	Protein arginine methyltransferase NDUFAF7 superfamily
IPR003358	tRNA (guanine-N-7) methyltransferase, Trmb type
IPR004788	Ribose 5-phosphate isomerase, type A
IPR045478	Exportin-5, C-terminal domain
IPR006721	ATP synthase, F1 complex, epsilon subunit, mitochondrial
IPR036742	ATP synthase, F1 complex, epsilon subunit superfamily, mitochondrial
IPR001810	F-box domain
IPR013866	Sphingolipid delta4-desaturase, N-terminal
IPR037147	Ribosomal protein L28/L24 superfamily
IPR000228	RNA 3'-terminal phosphate cyclase
IPR033725	LIM1 prickle
IPR041598	Methionine--tRNA ligase, N-terminal
IPR008958	Transglutaminase, C-terminal
IPR035871	Growth hormone-inducible transmembrane protein
IPR017366	Lysine-specific histone demethylase
IPR007304	TAP46-like protein
IPR038511	TAP42/TAP46-like superfamily
IPR026748	Clarin
IPR016443	RNA 3'-terminal phosphate cyclase type 2
IPR003439	ABC transporter-like, ATP-binding domain
IPR013568	SEFIR domain
IPR004854	Ubiquitin fusion degradation protein Ufd1-like
IPR042299	Ufd1-like, Nn domain
IPR032819	tRNA pseudouridylate synthase B, C-terminal
IPR003721	Pantoate-beta-alanine ligase
IPR002816	TraB/PrgY/GumN family
IPR046345	TraB/PryY-like
IPR025532	Glucose-6-phosphate 1-epimerase
IPR001212	Somatomedin B domain
IPR006735	Replication termination factor 2
IPR019347	Axonemal dynein light chain
IPR027799	Replication termination factor 2, RING-finger
IPR008832	Signal recognition particle, SRP9 subunit
IPR015088	Zinc finger, DNA-directed DNA polymerase, family B, alpha
IPR038256	DNA polymerase alpha, zinc finger domain superfamily
IPR040709	Importin 13, repeat 1
IPR032409	Rho guanine nucleotide exchange factor 6/7, coiled-coil domain
IPR032157	Proteasome assembly chaperone 4
IPR021138	60S ribosomal protein L18a/ L20, eukaryotes
IPR040848	Midasin, AAA lid domain 7
IPR041190	Midasin AAA lid domain 5
IPR038377	Sodium/glucose symporter superfamily
IPR000559	Formate-tetrahydrofolate ligase, FTHFS
IPR005013	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48kDa subunit
IPR006885	NADH dehydrogenase ubiquinone Fe-S protein 4 mitochondrial-like
IPR007064	Nmd3, N-terminal
IPR007269	Isoprenylcysteine carboxyl methyltransferase
IPR007374	ASCH domain
IPR009349	Zinc finger, C2HC5-type
IPR013641	Protein KTI12/L-seryl-tRNA(Sec) kinase
IPR013876	TFIIH p62 subunit, N-terminal
IPR014815	Phospholipase C-beta, C-terminal domain
IPR015405	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial-like
IPR017107	Adaptor protein complex AP-1, gamma subunit
IPR018808	Muniscin C-terminal
IPR021717	Nucleoporin Nup120/160
IPR022418	Porphobilinogen deaminase, C-terminal
IPR024983	CHAT domain
IPR026569	Ribosomal protein L28/L24
IPR026634	Protein-tyrosine sulfotransferase-like
IPR027079	TFIIH subunit Tfb1/GTF2H1
IPR029270	Limb expression 1
IPR030662	Diphthine--ammonia ligase/Uncharacterised protein MJ0570
IPR031632	Small VCP/p97-interacting protein
IPR035466	GlmS/AgaS, SIS domain 1
IPR035490	GlmS/FrlB, SIS domain 2
IPR036803	Porphobilinogen deaminase, C-terminal domain superfamily
IPR038532	NADH dehydrogenase ubiquinone Fe-S protein 4-like superfamily
IPR038899	Methyltransferase-like protein 22
IPR039128	Activating signal cointegrator 1-like
IPR039768	Ribosomal export protein Nmd3
IPR041952	STARD11, START domain
IPR043509	Brdt, bromodomain, repeat II
IPR044940	Nitric oxide synthase, domain 2 superfamily
IPR044944	Nitric oxide synthase, domain 3 superfamily
IPR044978	DnaJ homologue subfamily C, GRV2/DNAJC13
IPR013954	Polynucleotide kinase 3 phosphatase
IPR032145	Protein of unknown function DUF4818
IPR032682	Condensin complex subunit 1, C-terminal
IPR012849	Abl-interactor, homeo-domain homologous domain
IPR028457	ABI family
IPR016819	Ribonuclease P/MRP protein subunit Pop5
IPR001296	Glycosyl transferase, family 1
IPR007327	Tumour protein D52
IPR037993	NDPK7, second NDPk domain
IPR005468	Avidin/streptavidin
IPR045669	FHF complex subunit HOOK-interacting protein, C-terminal
IPR000929	Dopamine receptor family
IPR031824	E3 ubiquitin-protein ligase RNF220, middle domain
IPR036237	Xylose isomerase-like superfamily
IPR039677	Ciliogenesis and planar polarity effector 2
IPR023298	P-type ATPase, transmembrane domain superfamily
IPR006214	Bax inhibitor 1-related
IPR016563	Nuclear protein localization protein 4
IPR006925	Vps16, C-terminal
IPR028882	Succinate dehydrogenase assembly factor 2, mitochondrial
IPR029033	Histidine phosphatase superfamily
IPR013882	DNA endonuclease activator Ctp1, C-terminal
IPR006168	Glycerol-3-phosphate dehydrogenase, NAD-dependent
IPR000270	PB1 domain
IPR042774	UBXN6, PUB domain
IPR033772	UPA domain
IPR025593	Growth arrest-specific protein 8 domain
IPR039308	Growth arrest-specific protein 8
IPR019515	Vacuolar protein sorting-associated protein 54, N-terminal
IPR000788	Ribonucleotide reductase large subunit, C-terminal
IPR039718	Ribonucleoside-diphosphate reductase large subunit
IPR029787	Nucleotide cyclase
IPR001096	Peptidase C13, legumain
IPR028361	GPI-anchor transamidase
IPR003953	FAD-dependent oxidoreductase 2, FAD binding domain
IPR041641	CALCOCO1/2, zinc finger UBZ1-type
IPR000048	IQ motif, EF-hand binding site
IPR034348	RLI, domain 1
IPR034423	Probable RNA-binding protein 19, RNA recognition motif 5
IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold
IPR041232	Nucleoplasmin-like domain
IPR045267	Cyclin-dependent kinase 11/PITSLRE, catalytic domain
IPR013821	Potassium channel, voltage dependent, KCNQ, C-terminal
IPR019362	Methylmalonic aciduria and homocystinuria type D protein
IPR039948	Elongin-C
IPR004939	APC10/DOC domain
IPR009003	Peptidase S1, PA clan
IPR029264	ARF7 effector protein, C-terminal
IPR034099	Small nuclear ribonucleoprotein Sm D3
IPR005651	Trm112-like
IPR039127	Multifunctional methyltransferase subunit Trm112
IPR005855	Glucosamine-fructose-6-phosphate aminotransferase, isomerising
IPR004710	Bile acid:sodium symporter
IPR035625	Tfc3, extended winged-helix domain
IPR006084	XPG/Rad2 endonuclease
IPR006077	Vinculin/alpha-catenin
IPR036156	Beta-Galactosidase/glucuronidase domain superfamily
IPR026201	Centrosomal protein of 290kDa
IPR044613	NEDD8-specific protease 1/2-like
IPR037177	Dynein light chain superfamily
IPR006175	YjgF/YER057c/UK114 family
IPR035959	RutC-like superfamily
IPR031148	Plexin family
IPR036719	Neurotransmitter-gated ion-channel transmembrane domain superfamily
IPR001254	Serine proteases, trypsin domain
IPR011039	Transcription Factor IIF, Rap30/Rap74, interaction
IPR047215	Galactose mutarotase-like
IPR039971	Pre-mRNA-splicing factor CWC24-like
IPR010909	PLAC
IPR002820	Molybdopterin cofactor biosynthesis C (MoaC) domain
IPR023045	Molybdenum cofactor biosynthesis C
IPR036522	Molybdopterin cofactor biosynthesis C (MoaC) domain superfamily
IPR047594	Molybdenum cofactor biosynthesis C, bacteria/eukaryotes
IPR002090	Sodium/hydrogen exchanger 6/7/9
IPR047499	Adenylate kinase 7, dimerization/docking domain
IPR042401	Testicular haploid expressed gene protein-like
IPR000602	Glycoside hydrolase family 38, N-terminal domain
IPR027291	Glycoside hydrolase 38, N-terminal domain superfamily
IPR029299	ALMS motif
IPR005721	Ribosomal protein L22/L17, eukaryotic/archaeal
IPR005854	Amidophosphoribosyltransferase
IPR015757	Calcineurin B protein
IPR035584	Amidophosphoribosyltransferase, N-terminal
IPR001559	Phosphotriesterase
IPR026947	Ubinuclein middle domain
IPR002500	Phosphoadenosine phosphosulphate reductase
IPR039102	Protein FAM13
IPR000178	Translation initiation factor IF-2, bacterial-like
IPR000959	POLO box domain
IPR033701	First polo-box domain
IPR034240	eIF3G, RNA recognition motif
IPR039050	GATA zinc finger domain-containing protein 1
IPR012976	NOSIC
IPR001714	Peptidase M24, methionine aminopeptidase
IPR026572	Transmembrane protein 267
IPR006605	G2 nidogen/fibulin G2F
IPR009017	Green fluorescent protein
IPR011501	Nucleolar complex-associated protein 3, N-terminal
IPR012144	Nitric-oxide synthase, eukaryote
IPR041105	TAR DNA-binding protein 43, N-terminal
IPR024104	Pseudokinase tribbles family/serine-threonine-protein kinase 40
IPR041799	Toll-interacting protein, CUE domain
IPR000003	Retinoid X receptor/HNF4
IPR006236	D-3-phosphoglycerate dehydrogenase
IPR045105	Med25/PTOV1
IPR019366	Clusterin-associated protein-1
IPR039989	ADP-ribose pyrophosphatase, mitochondrial
IPR019332	Organic solute carrier protein 1
IPR002761	Diphthamide synthase domain
IPR034286	Cytosolic carboxypeptidase-like protein 5 catalytic domain
IPR010491	PRP1 splicing factor, N-terminal
IPR026591	Sirtuin, catalytic core small domain superfamily
IPR037252	Mib/herc2 domain superfamily
IPR002876	Transcriptional regulator TACO1-like
IPR017856	Integrase-like, N-terminal
IPR026564	Transcriptional regulator TACO1-like, domain 3
IPR029072	YebC-like
IPR047104	Bridge-like lipid transfer protein family member 1, N-terminal
IPR026638	Nuclear receptor coactivator 6
IPR000223	Peptidase S26A, signal peptidase I
IPR045139	Aladin
IPR025659	Tubby-like, C-terminal
IPR037730	Mitochondrial inner membrane protease subunit 2
IPR018787	Protein of unknown function DUF2371, TMEM200
IPR041506	Domain of unknown function DUF5645
IPR012423	Chromatin modification-related protein Eaf7/MRGBP
IPR002782	Mut7-C RNAse domain
IPR024240	Alpha-N-acetylglucosaminidase, N-terminal
IPR024733	Alpha-N-acetylglucosaminidase, tim-barrel domain
IPR024974	Sde2, N-terminal ubiquitin domain
IPR021852	Domain of unknown function DUF3456
IPR036106	Class VII myosin, motor domain
IPR001223	Glycoside hydrolase family 18, catalytic domain
IPR011642	Nucleoside transporter/FeoB GTPase, Gate domain
IPR026195	P-selectin glycoprotein ligand 1
IPR001997	Calponin/LIMCH1
IPR041312	CHIP, N-terminal tetratricopeptide repeat domain
IPR045202	CHIP/LubX , U box domain
IPR011515	Shugoshin, C-terminal
IPR044146	Tex, S1 domain
IPR027124	SWR1-complex protein 5/Craniofacial development protein 1/2
IPR006709	Small-subunit processome, Utp14
IPR039702	Farnesyl pyrophosphate synthase-like
IPR007781	Alpha-N-acetylglucosaminidase
IPR024732	Alpha-N-acetylglucosaminidase, C-terminal
IPR017334	Eukaryotic translation initiation factor 3 subunit G
IPR008927	6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily
IPR010102	Succinate semialdehyde dehydrogenase
IPR005199	Glycoside hydrolase, family 79
IPR022533	Cox20
IPR014881	Nin one binding (NOB1) Zn-ribbon-like
IPR017117	Ribonuclease Nob1, eukaryote
IPR033411	Ribonuclease, PIN domain
IPR036283	NOB1 zinc finger-like superfamily
IPR039907	RNA-binding protein NOB1
IPR025792	tRNA (guanine(37)-N(1))-methyltransferase, eukaryotic
IPR005474	Transketolase, N-terminal
IPR005962	Tyrosine 3-monooxygenase
IPR006687	Small GTPase superfamily, SAR1-type
IPR039785	Deubiquitinating enzyme MINDY-3/4
IPR013606	IMD/I-BAR domain
IPR019376	Myeloid leukemia factor
IPR021939	Kank N-terminal motif
IPR047184	KN motif and ankyrin repeat domain-containing protein 1-4
IPR013815	ATP-grasp fold, subdomain 1
IPR019133	MICOS complex subunit MIC60
IPR004828	Apidaecin
IPR012974	Nucleolar protein 58/56, N-terminal
IPR022775	AP complex, mu/sigma subunit
